Scale,g11r,E11m,E11p,Expect1,g12r,E12m,E12p,Expect2
0,616.60083,0,148.834686,60.1535742,0,33.189617,74.676636,55.350774
1,14.631983,0,28.600847,5.696028,0.713755,2.074353,12.13384,6.469871
2,22.018095,0,18.769304,4.8819875,1.288864,1.775958,9.421573,5.630237
3,38.940681,0,18.989597,7.2372808,7.28159,3.976638,11.977248,7.86573
4,2.546987,0,11.023232,3.3515616,4.224271,1.251394,5.18703,3.107624
5,2.094228,0,10.851419,3.4955325,4.494928,2.055978,6.208406,3.941873
6,3.590342,0,5.846424,1.8296539,1.751386,0.533355,3.019652,1.904349
7,0,0,3.367283,0.7544321,0.458862,0.288016,1.521191,0.823053
8,0,0,4.217515,0.9042267,0.542387,0,1.816449,0.957387
9,1.252154,0,3.727981,0.9480317,0.610807,0.381069,1.960639,1.091805
10,10.4513,0,3.727079,0.7823967,0.33988,0.33031,1.678929,0.851922
11,10.420776,0,5.122683,1.2127582,0.112962,0.464422,2.346426,1.297539
12,16.737587,0,4.867667,1.5715479,1.088624,0.553728,2.372296,1.405336
13,4.272907,0,2.929476,0.734506,0.833738,0.415007,1.384437,0.864064
14,9.190038,0,4.025473,0.9839949,0.398484,0.325891,1.783095,1.023091
15,3.903789,0,4.462713,1.4337103,2.094716,0.80133,2.493021,1.574753
16,0,0,4.12337,1.240132,0,0.634726,2.173337,1.356302
17,1.788599,0,4.256299,1.4822059,0.872487,0.81342,2.160187,1.557133
18,0,0,5.369297,2.0090431,2.67764,1.294868,3.13381,2.152849
19,0,0,4.0948,1.5465394,2.090003,0.88635,2.410138,1.562038
20,0,0,4.859866,1.7329749,3.092383,0.891214,2.606732,1.726629
21,0,0,6.429129,2.3082508,6.758852,1.316378,3.616773,2.430078
22,0,0,5.052154,1.864588,4.070454,0.92478,2.918889,1.982887
23,0,0,4.711464,1.8975187,6.019716,1.177352,3.000208,2.131373
24,0,0,5.812679,1.7407476,1.172,0.839368,2.977711,1.785459
25,0,0,3.151964,0.865903,0.736466,0.518698,1.351675,0.927024
26,0,0,2.432787,0.6827941,0.72012,0.277078,1.115402,0.63952
27,0,0,2.571976,0.9009947,1.849187,0.448831,1.323721,0.878338
28,0,0,3.268647,1.168179,3.415568,0.706564,1.977601,1.323029
29,0,0,3.431295,1.149716,1.27003,0.714123,1.860122,1.210289
30,0,0,2.168052,0.5882203,1.01151,0.321431,1.125279,0.681811
31,0,0,2.34624,0.7202787,1.462289,0.41614,1.484722,0.834164
32,0,0,2.399517,0.8753139,0.974652,0.458886,1.60297,1.029615
33,0,0,2.410336,0.5757974,1.180013,0.242047,1.157503,0.594783
34,0,0,3.655483,0.9985975,0.660232,0.286714,1.403868,0.932692
35,0,0,3.195219,1.0310127,0.754409,0.477851,1.743211,1.122755
36,0,0,2.008613,0.6032468,0.532359,0.25541,1.010353,0.649337
37,0,0,2.960613,1.031616,1.204278,0.520919,1.680855,1.073665
